category,resume_text
Data Engineer,"Data Engineer with 1 years of experience. Skilled in Elasticsearch, Redis, MongoDB, PyTorch, Azure, AWS. Experience with Jira, Terraform, Microservices, Scrum. Education: B.E. in IT."
Data Engineer,"Data Engineer with 9 years of experience. Skilled in MongoDB, NumPy, Airflow, Redis, Django, Elasticsearch. Experience with GitHub Actions, Linux, Jenkins, Microservices. Education: M.Tech in AI."
DevOps Engineer,"DevOps Engineer with 9 years of experience. Skilled in MongoDB, Solidity, Kubernetes, React, Docker, NumPy. Experience with Agile, Ansible, GitHub Actions. Education: M.Tech in AI."
Backend Developer,"Backend Developer with 6 years of experience. Skilled in Azure, Excel, Airflow, Tableau, NumPy. Experience with Terraform, Agile, CI/CD. Education: M.S. in Data Science."
Backend Developer,"Backend Developer with 1 years of experience. Skilled in Java, Docker, Elasticsearch, Spark. Experience with Jira, Terraform. Education: B.Des."
Machine Learning Engineer,"Machine Learning Engineer with 9 years of experience. Skilled in AWS, Django, scikit-learn, Node.js. Experience with Jira, REST API, Ansible, Agile. Education: B.Tech in Computer Science."
Software Engineer,"Software Engineer with 6 years of experience. Skilled in Hadoop, Kubernetes, Excel, Azure. Experience with Microservices, GitHub Actions, Ansible, Jenkins. Education: M.Tech in AI."
Frontend Developer,"Frontend Developer with 6 years of experience. Skilled in Django, FastAPI, Tableau, Power BI, Flask. Experience with Agile, Linux, CI/CD. Education: MBA."
Software Engineer,"Software Engineer with 8 years of experience. Skilled in Figma, Redis, FastAPI, Power BI, Excel, Tableau, SQL. Experience with Terraform, Jira, GitHub Actions, Microservices. Education: B.E. in IT."
UI/UX Designer,"UI/UX Designer with 4 years of experience. Skilled in Figma, Java, C++, Kafka. Experience with Git, REST API, Jenkins, Ansible. Education: MBA."
Data Scientist,"Data Scientist with 10 years of experience. Skilled in Flask, Pandas, Docker, FastAPI, scikit-learn, Django, Azure. Experience with Ansible, Jenkins, Git. Education: B.Des."
Data Engineer,"Data Engineer with 6 years of experience. Skilled in PyTorch, Excel, NumPy, Spark, GraphQL, Kubernetes, FastAPI. Experience with CI/CD, Scrum, Ansible, Agile. Education: B.Tech in Computer Science."
Cybersecurity Analyst,"Cybersecurity Analyst with 10 years of experience. Skilled in PostgreSQL, Docker, GraphQL, Kafka. Experience with Jira, Scrum, GitHub Actions, Agile. Education: B.Tech in Computer Science."
Backend Developer,"Backend Developer with 2 years of experience. Skilled in Kubernetes, Tableau, Elasticsearch, Figma, MongoDB, GraphQL. Experience with GitHub Actions, Jenkins, Terraform, Git. Education: M.S. in Data Science."
Cloud Engineer,"Cloud Engineer with 5 years of experience. Skilled in TensorFlow, MongoDB, AWS, Elasticsearch, Python, GraphQL, Figma. Experience with CI/CD, Jenkins. Education: MBA."
Mobile Developer,"Mobile Developer with 4 years of experience. Skilled in Solidity, Docker, Node.js, Figma, Spark, Kafka, Azure. Experience with Git, Jenkins, Linux. Education: M.Tech in AI."
Mobile Developer,"Mobile Developer with 4 years of experience. Skilled in Node.js, GCP, Redis, FastAPI. Experience with Jira, Microservices. Education: M.Tech in AI."
DevOps Engineer,"DevOps Engineer with 3 years of experience. Skilled in Tableau, Redis, Hadoop, Python. Experience with Jira, Scrum. Education: M.S. in Data Science."
Frontend Developer,"Frontend Developer with 10 years of experience. Skilled in NumPy, FastAPI, PostgreSQL, Solidity, scikit-learn, Flask. Experience with REST API, CI/CD, Git. Education: B.Des."
Product Manager,"Product Manager with 9 years of experience. Skilled in scikit-learn, SQL, Airflow, Docker, C++, Solidity. Experience with Ansible, Jira, Microservices, GitHub Actions. Education: M.S. in Data Science."
Cybersecurity Analyst,"Cybersecurity Analyst with 3 years of experience. Skilled in SQL, PyTorch, Figma, PostgreSQL, Tableau, Azure, scikit-learn. Experience with Ansible, Terraform. Education: M.Tech in AI."
AI Engineer,"AI Engineer with 6 years of experience. Skilled in Azure, AWS, Pandas, Kubernetes, Airflow. Experience with GitHub Actions, Ansible, REST API. Education: B.Tech in Computer Science."
QA Engineer,"QA Engineer with 6 years of experience. Skilled in SQL, AWS, MongoDB, GCP, Java. Experience with Ansible, REST API. Education: MBA."
Frontend Developer,"Frontend Developer with 2 years of experience. Skilled in Excel, scikit-learn, Kubernetes, Django, GraphQL, Hadoop, Airflow. Experience with Jenkins, Git, CI/CD. Education: M.S. in Data Science."
Business Analyst,"Business Analyst with 9 years of experience. Skilled in Elasticsearch, Tableau, Pandas, Flask. Experience with Git, CI/CD, GitHub Actions. Education: B.E. in IT."
AI Engineer,"AI Engineer with 3 years of experience. Skilled in Redis, Django, Flask, MongoDB, Kafka. Experience with GitHub Actions, CI/CD, Terraform, Linux. Education: M.Tech in AI."
Backend Developer,"Backend Developer with 2 years of experience. Skilled in Flask, Django, AWS, Tableau. Experience with Agile, Jira, Terraform, REST API. Education: M.Tech in AI."
Cloud Engineer,"Cloud Engineer with 5 years of experience. Skilled in Excel, React, FastAPI, TensorFlow, MongoDB. Experience with Microservices, Terraform, Agile, Ansible. Education: M.Tech in AI."
AI Engineer,"AI Engineer with 6 years of experience. Skilled in Power BI, Hadoop, scikit-learn, TensorFlow, C++, Pandas, MongoDB. Experience with Jenkins, REST API. Education: B.Tech in Computer Science."
Cloud Engineer,"Cloud Engineer with 10 years of experience. Skilled in Hadoop, Java, Tableau, Solidity, Docker, PyTorch, Spark. Experience with Jira, Microservices, GitHub Actions. Education: B.Des."
Business Analyst,"Business Analyst with 3 years of experience. Skilled in SQL, GraphQL, Tableau, Spark, Pandas, TensorFlow. Experience with REST API, Jenkins, Jira. Education: M.S. in Data Science."
Software Engineer,"Software Engineer with 5 years of experience. Skilled in Airflow, NumPy, Spark, Redis, scikit-learn, PyTorch. Experience with Git, CI/CD, Jenkins, GitHub Actions. Education: B.Tech in Computer Science."
Backend Developer,"Backend Developer with 5 years of experience. Skilled in GraphQL, Flask, Java, Pandas, PostgreSQL, TensorFlow. Experience with Terraform, Jenkins, Linux. Education: MBA."
Product Manager,"Product Manager with 6 years of experience. Skilled in TensorFlow, GraphQL, Django, Solidity. Experience with Terraform, Git. Education: MBA."
QA Engineer,"QA Engineer with 7 years of experience. Skilled in Redis, Airflow, scikit-learn, Azure. Experience with Microservices, Linux, GitHub Actions. Education: M.Tech in AI."
QA Engineer,"QA Engineer with 10 years of experience. Skilled in Flask, Figma, C++, Hadoop, Docker. Experience with Jira, GitHub Actions, Jenkins, REST API. Education: B.Des."
Software Engineer,"Software Engineer with 9 years of experience. Skilled in TensorFlow, Power BI, Hadoop, C++, Solidity, Kafka. Experience with Git, Linux, Jira, Jenkins. Education: MBA."
Software Engineer,"Software Engineer with 10 years of experience. Skilled in Docker, Solidity, Tableau, Java, Flask, scikit-learn, Redis. Experience with Git, Terraform, Linux. Education: M.S. in Data Science."
Data Scientist,"Data Scientist with 6 years of experience. Skilled in MongoDB, Spark, scikit-learn, React, C++, GCP. Experience with Jira, CI/CD, REST API. Education: M.Tech in AI."
UI/UX Designer,"UI/UX Designer with 1 years of experience. Skilled in Java, SQL, PostgreSQL, Tableau, Django. Experience with Terraform, REST API. Education: B.E. in IT."
Business Analyst,"Business Analyst with 1 years of experience. Skilled in Solidity, PostgreSQL, Java, AWS, FastAPI, GraphQL, Django. Experience with Git, Terraform. Education: B.E. in IT."
Data Engineer,"Data Engineer with 1 years of experience. Skilled in scikit-learn, MongoDB, Java, AWS, Excel, Django, PostgreSQL. Experience with Microservices, REST API, Agile, Linux. Education: B.E. in IT."
QA Engineer,"QA Engineer with 5 years of experience. Skilled in Django, Pandas, FastAPI, Tableau. Experience with Jira, Jenkins, Agile. Education: M.Tech in AI."
Cloud Engineer,"Cloud Engineer with 5 years of experience. Skilled in scikit-learn, Power BI, GCP, Redis, MongoDB, Node.js, Airflow. Experience with REST API, Terraform, Git, CI/CD. Education: MBA."
Software Engineer,"Software Engineer with 1 years of experience. Skilled in MongoDB, Solidity, Redis, NumPy, Docker, scikit-learn. Experience with Ansible, CI/CD, Microservices. Education: B.E. in IT."
AI Engineer,"AI Engineer with 7 years of experience. Skilled in Figma, Tableau, Elasticsearch, MongoDB, Flask. Experience with CI/CD, Terraform, REST API. Education: M.S. in Data Science."
DevOps Engineer,"DevOps Engineer with 3 years of experience. Skilled in Elasticsearch, SQL, Redis, scikit-learn, NumPy, Figma. Experience with CI/CD, Linux, Jenkins. Education: MBA."
Machine Learning Engineer,"Machine Learning Engineer with 6 years of experience. Skilled in Java, AWS, Spark, Excel, Figma. Experience with CI/CD, Microservices, Agile, Git. Education: MBA."
AI Engineer,"AI Engineer with 8 years of experience. Skilled in FastAPI, PostgreSQL, SQL, Django. Experience with CI/CD, Git, Linux, REST API. Education: B.Des."
QA Engineer,"QA Engineer with 2 years of experience. Skilled in Node.js, Airflow, Elasticsearch, C++, NumPy, GCP, Flask. Experience with Scrum, Agile, GitHub Actions, Terraform. Education: MBA."
DevOps Engineer,"DevOps Engineer with 6 years of experience. Skilled in Azure, Docker, PostgreSQL, Hadoop, AWS. Experience with Ansible, Terraform, CI/CD, Jira. Education: M.Tech in AI."
UI/UX Designer,"UI/UX Designer with 8 years of experience. Skilled in Pandas, Node.js, Docker, scikit-learn, MongoDB, Spark, PyTorch. Experience with GitHub Actions, Microservices. Education: M.S. in Data Science."
Cloud Engineer,"Cloud Engineer with 6 years of experience. Skilled in Figma, Flask, Azure, AWS, Java. Experience with Jenkins, Scrum. Education: B.Des."
Mobile Developer,"Mobile Developer with 8 years of experience. Skilled in Airflow, Azure, GCP, Pandas. Experience with Linux, Terraform, Microservices. Education: MBA."
Business Analyst,"Business Analyst with 3 years of experience. Skilled in FastAPI, Power BI, Airflow, Redis, Figma, C++, Hadoop. Experience with Jira, GitHub Actions, Git, Scrum. Education: MBA."
UI/UX Designer,"UI/UX Designer with 10 years of experience. Skilled in Docker, PyTorch, Django, Kafka, Kubernetes. Experience with CI/CD, Terraform, Ansible. Education: M.S. in Data Science."
Software Engineer,"Software Engineer with 10 years of experience. Skilled in SQL, Solidity, AWS, Airflow, MongoDB. Experience with GitHub Actions, CI/CD. Education: MBA."
Data Scientist,"Data Scientist with 1 years of experience. Skilled in Figma, PostgreSQL, TensorFlow, Docker, Tableau, NumPy, SQL. Experience with Jenkins, Scrum. Education: MBA."
Business Analyst,"Business Analyst with 6 years of experience. Skilled in Excel, SQL, Redis, Hadoop. Experience with Git, REST API, Jenkins, Linux. Education: MBA."
Data Engineer,"Data Engineer with 2 years of experience. Skilled in SQL, GraphQL, Azure, MongoDB, Python, FastAPI, scikit-learn. Experience with Jira, Git, GitHub Actions. Education: M.Tech in AI."
QA Engineer,"QA Engineer with 5 years of experience. Skilled in Spark, scikit-learn, NumPy, SQL, Docker, Solidity, PostgreSQL. Experience with REST API, Git. Education: MBA."
Frontend Developer,"Frontend Developer with 5 years of experience. Skilled in Airflow, MongoDB, Docker, FastAPI. Experience with Jenkins, CI/CD. Education: B.E. in IT."
DevOps Engineer,"DevOps Engineer with 2 years of experience. Skilled in Kubernetes, Redis, PyTorch, TensorFlow, NumPy, C++. Experience with Ansible, Git. Education: M.Tech in AI."
UI/UX Designer,"UI/UX Designer with 4 years of experience. Skilled in Tableau, AWS, Node.js, Azure, Python. Experience with CI/CD, Linux, GitHub Actions. Education: B.E. in IT."
QA Engineer,"QA Engineer with 2 years of experience. Skilled in Excel, Elasticsearch, React, Python. Experience with REST API, Linux. Education: M.Tech in AI."
Cloud Engineer,"Cloud Engineer with 1 years of experience. Skilled in Pandas, Azure, TensorFlow, MongoDB, NumPy, Flask. Experience with Git, Agile, Jira. Education: B.E. in IT."
Software Engineer,"Software Engineer with 3 years of experience. Skilled in Azure, Java, Airflow, Tableau, Elasticsearch. Experience with REST API, Jenkins, Jira. Education: B.Des."
Cloud Engineer,"Cloud Engineer with 8 years of experience. Skilled in AWS, Spark, Node.js, PostgreSQL. Experience with Microservices, Scrum, Terraform. Education: B.Des."
QA Engineer,"QA Engineer with 9 years of experience. Skilled in Docker, Airflow, Excel, Flask, Kafka, Python. Experience with Scrum, Microservices. Education: B.E. in IT."
UI/UX Designer,"UI/UX Designer with 7 years of experience. Skilled in Flask, GraphQL, Redis, Django. Experience with Jira, REST API. Education: MBA."
Blockchain Developer,"Blockchain Developer with 6 years of experience. Skilled in Airflow, TensorFlow, Elasticsearch, Python, Redis, AWS. Experience with Terraform, GitHub Actions, Microservices. Education: MBA."
DevOps Engineer,"DevOps Engineer with 9 years of experience. Skilled in SQL, Azure, GraphQL, GCP, Power BI, Excel, Docker. Experience with CI/CD, Jira, REST API. Education: M.S. in Data Science."
Cybersecurity Analyst,"Cybersecurity Analyst with 9 years of experience. Skilled in NumPy, Pandas, TensorFlow, Redis. Experience with Git, Jira, Agile, Microservices. Education: B.E. in IT."
Machine Learning Engineer,"Machine Learning Engineer with 3 years of experience. Skilled in TensorFlow, React, Hadoop, Python, PyTorch. Experience with Ansible, Scrum, Jira. Education: B.Tech in Computer Science."
DevOps Engineer,"DevOps Engineer with 10 years of experience. Skilled in Python, Redis, TensorFlow, MongoDB, Flask, AWS, GCP. Experience with Ansible, Microservices. Education: B.Des."
Data Scientist,"Data Scientist with 7 years of experience. Skilled in Solidity, Pandas, PostgreSQL, Redis, NumPy. Experience with Microservices, Jenkins, GitHub Actions, Ansible. Education: B.Des."
Backend Developer,"Backend Developer with 10 years of experience. Skilled in React, Redis, GCP, Tableau. Experience with REST API, Jenkins, Linux, Microservices. Education: B.E. in IT."
Machine Learning Engineer,"Machine Learning Engineer with 8 years of experience. Skilled in Solidity, Flask, SQL, React, Kubernetes, C++. Experience with GitHub Actions, Linux, REST API. Education: MBA."
Frontend Developer,"Frontend Developer with 3 years of experience. Skilled in AWS, PyTorch, Kubernetes, Excel, Hadoop. Experience with GitHub Actions, Git, Terraform. Education: MBA."
AI Engineer,"AI Engineer with 6 years of experience. Skilled in Solidity, Java, SQL, NumPy, Airflow, PyTorch, React. Experience with Ansible, Git, Jira, REST API. Education: MBA."
Frontend Developer,"Frontend Developer with 1 years of experience. Skilled in Pandas, Airflow, GraphQL, NumPy, Kafka. Experience with Jira, Linux. Education: B.Tech in Computer Science."
Cloud Engineer,"Cloud Engineer with 10 years of experience. Skilled in Flask, Node.js, Kafka, Power BI, Pandas. Experience with Jira, Linux, Scrum, Jenkins. Education: B.Tech in Computer Science."
Software Engineer,"Software Engineer with 4 years of experience. Skilled in Pandas, Excel, NumPy, Hadoop, C++, Kubernetes. Experience with CI/CD, Jira. Education: MBA."
Data Scientist,"Data Scientist with 8 years of experience. Skilled in Docker, Hadoop, Django, Tableau, GraphQL, Elasticsearch. Experience with Git, Jenkins. Education: B.Tech in Computer Science."
UI/UX Designer,"UI/UX Designer with 7 years of experience. Skilled in Flask, TensorFlow, Azure, React, Spark. Experience with Jira, Terraform. Education: B.Des."
QA Engineer,"QA Engineer with 4 years of experience. Skilled in React, Azure, AWS, FastAPI. Experience with Microservices, Git, GitHub Actions. Education: M.S. in Data Science."
Blockchain Developer,"Blockchain Developer with 1 years of experience. Skilled in Node.js, Docker, SQL, Django, Azure, Figma. Experience with Linux, Terraform. Education: M.S. in Data Science."
Frontend Developer,"Frontend Developer with 1 years of experience. Skilled in MongoDB, AWS, Redis, GCP, Elasticsearch. Experience with Microservices, Scrum. Education: M.S. in Data Science."
QA Engineer,"QA Engineer with 1 years of experience. Skilled in Kafka, Azure, scikit-learn, React, Hadoop. Experience with Scrum, GitHub Actions, Jenkins, Agile. Education: MBA."
Software Engineer,"Software Engineer with 9 years of experience. Skilled in Docker, TensorFlow, GCP, PostgreSQL, Java, AWS. Experience with GitHub Actions, Scrum, Ansible. Education: B.Des."
QA Engineer,"QA Engineer with 6 years of experience. Skilled in MongoDB, Java, TensorFlow, Tableau, Excel, PostgreSQL, Elasticsearch. Experience with GitHub Actions, CI/CD, Ansible. Education: B.Tech in Computer Science."
Data Engineer,"Data Engineer with 3 years of experience. Skilled in MongoDB, GCP, Django, Kafka, FastAPI. Experience with Agile, Git. Education: MBA."
Data Scientist,"Data Scientist with 9 years of experience. Skilled in SQL, C++, TensorFlow, Docker, Elasticsearch, Azure. Experience with REST API, Microservices. Education: B.Des."
AI Engineer,"AI Engineer with 6 years of experience. Skilled in Kubernetes, Docker, Excel, SQL, Elasticsearch. Experience with CI/CD, Terraform, Microservices. Education: B.E. in IT."
Software Engineer,"Software Engineer with 3 years of experience. Skilled in Power BI, Hadoop, PostgreSQL, NumPy, Flask, Pandas. Experience with Git, Scrum, Linux, GitHub Actions. Education: B.E. in IT."
Business Analyst,"Business Analyst with 2 years of experience. Skilled in Docker, MongoDB, scikit-learn, GraphQL, Figma, C++, SQL. Experience with Microservices, CI/CD. Education: MBA."
Product Manager,"Product Manager with 6 years of experience. Skilled in PostgreSQL, Django, Tableau, TensorFlow, Power BI, Solidity, Java. Experience with CI/CD, Jira, Scrum. Education: M.S. in Data Science."
Machine Learning Engineer,"Machine Learning Engineer with 9 years of experience. Skilled in TensorFlow, Python, Tableau, PyTorch, Docker, MongoDB. Experience with CI/CD, Ansible, Scrum, Agile. Education: M.Tech in AI."
Business Analyst,"Business Analyst with 9 years of experience. Skilled in Airflow, Flask, Kafka, Spark, GraphQL. Experience with Scrum, Linux. Education: M.S. in Data Science."
QA Engineer,"QA Engineer with 10 years of experience. Skilled in Airflow, React, Azure, Elasticsearch, Spark, Django. Experience with Git, Jira, Jenkins. Education: B.Tech in Computer Science."
Blockchain Developer,"Blockchain Developer with 8 years of experience. Skilled in Elasticsearch, Java, Tableau, Docker, Spark, GCP, SQL. Experience with Microservices, Jira. Education: M.Tech in AI."
Frontend Developer,"Frontend Developer with 6 years of experience. Skilled in Redis, Python, FastAPI, PyTorch. Experience with Terraform, Jira, Agile. Education: B.Des."
Data Engineer,"Data Engineer with 6 years of experience. Skilled in C++, Django, Redis, Flask, Excel. Experience with Microservices, Ansible, Terraform. Education: B.E. in IT."
UI/UX Designer,"UI/UX Designer with 4 years of experience. Skilled in Azure, MongoDB, FastAPI, Python, C++, TensorFlow. Experience with GitHub Actions, Git, Jira. Education: B.E. in IT."
Cybersecurity Analyst,"Cybersecurity Analyst with 5 years of experience. Skilled in TensorFlow, Figma, Solidity, scikit-learn, Node.js, Kafka. Experience with Linux, Terraform. Education: B.E. in IT."
UI/UX Designer,"UI/UX Designer with 3 years of experience. Skilled in Python, Hadoop, Azure, Pandas. Experience with Scrum, Jenkins, Git. Education: M.S. in Data Science."
Data Scientist,"Data Scientist with 10 years of experience. Skilled in Redis, Power BI, Azure, Excel, Hadoop. Experience with CI/CD, GitHub Actions. Education: M.Tech in AI."
Product Manager,"Product Manager with 2 years of experience. Skilled in Spark, React, Node.js, Flask. Experience with Terraform, Jenkins. Education: B.Des."
Software Engineer,"Software Engineer with 5 years of experience. Skilled in Elasticsearch, PyTorch, Flask, Java, Excel, Redis. Experience with Microservices, Git, Agile. Education: B.E. in IT."
AI Engineer,"AI Engineer with 5 years of experience. Skilled in Flask, MongoDB, scikit-learn, NumPy. Experience with Git, Microservices. Education: B.E. in IT."
Business Analyst,"Business Analyst with 2 years of experience. Skilled in NumPy, MongoDB, C++, Elasticsearch, Solidity. Experience with Ansible, Agile, GitHub Actions, Microservices. Education: B.Tech in Computer Science."
Backend Developer,"Backend Developer with 2 years of experience. Skilled in Solidity, C++, Elasticsearch, scikit-learn, Excel. Experience with Ansible, Agile. Education: M.S. in Data Science."
UI/UX Designer,"UI/UX Designer with 5 years of experience. Skilled in Figma, Kubernetes, React, Azure, NumPy, Kafka. Experience with REST API, Agile, Scrum. Education: M.S. in Data Science."
Frontend Developer,"Frontend Developer with 3 years of experience. Skilled in Hadoop, PyTorch, Node.js, Figma, Flask. Experience with Ansible, CI/CD. Education: B.E. in IT."
Frontend Developer,"Frontend Developer with 2 years of experience. Skilled in Excel, React, PyTorch, Pandas. Experience with Jira, REST API. Education: B.E. in IT."
QA Engineer,"QA Engineer with 7 years of experience. Skilled in MongoDB, Kafka, Figma, TensorFlow. Experience with Linux, Jenkins. Education: B.Des."
Backend Developer,"Backend Developer with 4 years of experience. Skilled in Elasticsearch, Excel, SQL, Docker, Hadoop, React, MongoDB. Experience with GitHub Actions, Scrum. Education: MBA."
AI Engineer,"AI Engineer with 7 years of experience. Skilled in GraphQL, NumPy, GCP, FastAPI, Power BI, Pandas. Experience with CI/CD, Microservices, Linux, Scrum. Education: M.Tech in AI."
Product Manager,"Product Manager with 10 years of experience. Skilled in React, MongoDB, Tableau, scikit-learn, TensorFlow. Experience with Scrum, Jira, REST API. Education: B.Tech in Computer Science."
DevOps Engineer,"DevOps Engineer with 6 years of experience. Skilled in React, GCP, Azure, Tableau, AWS, Java, Power BI. Experience with Linux, CI/CD. Education: B.Des."
UI/UX Designer,"UI/UX Designer with 10 years of experience. Skilled in Airflow, Pandas, PyTorch, Kafka, PostgreSQL, Excel, FastAPI. Experience with Scrum, Jenkins, Linux. Education: B.Des."
UI/UX Designer,"UI/UX Designer with 5 years of experience. Skilled in React, FastAPI, AWS, NumPy, Python, Azure, TensorFlow. Experience with Git, Ansible, Microservices, GitHub Actions. Education: M.S. in Data Science."
Frontend Developer,"Frontend Developer with 7 years of experience. Skilled in C++, FastAPI, AWS, Java, PostgreSQL, Node.js. Experience with Microservices, REST API, GitHub Actions, Terraform. Education: B.Des."
Blockchain Developer,"Blockchain Developer with 2 years of experience. Skilled in Elasticsearch, MongoDB, Docker, Excel, Figma, Flask, GraphQL. Experience with Ansible, Git, GitHub Actions, Terraform. Education: B.Des."
AI Engineer,"AI Engineer with 9 years of experience. Skilled in Java, GCP, Docker, Spark, Power BI, Redis. Experience with Agile, Microservices, Jira, Git. Education: B.E. in IT."
Blockchain Developer,"Blockchain Developer with 7 years of experience. Skilled in Power BI, Solidity, PyTorch, Java, Pandas. Experience with Scrum, Jenkins, Jira, Terraform. Education: MBA."
Data Scientist,"Data Scientist with 3 years of experience. Skilled in Node.js, Pandas, Docker, Azure, AWS, TensorFlow, Excel. Experience with Scrum, Terraform, Git, Microservices. Education: M.S. in Data Science."
Mobile Developer,"Mobile Developer with 6 years of experience. Skilled in Tableau, TensorFlow, Django, PyTorch, Solidity, FastAPI, React. Experience with REST API, Jira, Jenkins. Education: B.Des."
Software Engineer,"Software Engineer with 6 years of experience. Skilled in Figma, Pandas, Power BI, Hadoop. Experience with Terraform, Jenkins, Git. Education: B.Tech in Computer Science."
Business Analyst,"Business Analyst with 6 years of experience. Skilled in MongoDB, Solidity, Node.js, Hadoop, PyTorch, C++. Experience with Ansible, REST API, Jenkins, Git. Education: MBA."
Cloud Engineer,"Cloud Engineer with 7 years of experience. Skilled in Tableau, Excel, GraphQL, Hadoop, FastAPI, TensorFlow, Figma. Experience with Jenkins, Microservices, Scrum. Education: B.Des."
Backend Developer,"Backend Developer with 7 years of experience. Skilled in Elasticsearch, C++, scikit-learn, Power BI. Experience with Terraform, Agile. Education: M.Tech in AI."
Frontend Developer,"Frontend Developer with 3 years of experience. Skilled in NumPy, scikit-learn, Power BI, PyTorch, Azure, C++, Kafka. Experience with Microservices, Ansible. Education: B.Tech in Computer Science."
Software Engineer,"Software Engineer with 9 years of experience. Skilled in PostgreSQL, PyTorch, Kafka, Python. Experience with Terraform, GitHub Actions, Git. Education: B.E. in IT."
DevOps Engineer,"DevOps Engineer with 1 years of experience. Skilled in Kubernetes, Spark, AWS, React, Excel, Figma. Experience with Agile, Microservices, Terraform. Education: B.Tech in Computer Science."
Machine Learning Engineer,"Machine Learning Engineer with 4 years of experience. Skilled in Node.js, Java, Python, Figma, Django, Pandas, Flask. Experience with REST API, Microservices. Education: B.Tech in Computer Science."
DevOps Engineer,"DevOps Engineer with 2 years of experience. Skilled in PostgreSQL, AWS, Figma, Python. Experience with Linux, CI/CD, REST API, Agile. Education: M.Tech in AI."
Software Engineer,"Software Engineer with 1 years of experience. Skilled in Spark, Kubernetes, Solidity, C++. Experience with Jenkins, GitHub Actions, Ansible. Education: B.Des."
AI Engineer,"AI Engineer with 8 years of experience. Skilled in PyTorch, Django, scikit-learn, Flask, Kafka. Experience with GitHub Actions, Ansible, Linux. Education: MBA."
Data Engineer,"Data Engineer with 5 years of experience. Skilled in scikit-learn, Tableau, NumPy, Excel, Solidity. Experience with GitHub Actions, Linux, Jira. Education: M.S. in Data Science."
DevOps Engineer,"DevOps Engineer with 9 years of experience. Skilled in NumPy, GraphQL, Spark, Tableau, AWS, Elasticsearch, Java. Experience with Terraform, CI/CD, Jira, REST API. Education: B.E. in IT."
Cybersecurity Analyst,"Cybersecurity Analyst with 6 years of experience. Skilled in GraphQL, Redis, FastAPI, C++, PyTorch. Experience with REST API, Scrum, Jira. Education: M.S. in Data Science."
Cybersecurity Analyst,"Cybersecurity Analyst with 5 years of experience. Skilled in Hadoop, Pandas, Airflow, Java. Experience with Microservices, Git, Linux. Education: M.Tech in AI."
QA Engineer,"QA Engineer with 7 years of experience. Skilled in Django, Spark, Airflow, Excel, Python, TensorFlow. Experience with Linux, CI/CD, Agile, Microservices. Education: MBA."
Data Scientist,"Data Scientist with 1 years of experience. Skilled in Power BI, Kubernetes, Tableau, Node.js, Figma, Spark. Experience with Linux, Microservices. Education: M.Tech in AI."
Cybersecurity Analyst,"Cybersecurity Analyst with 4 years of experience. Skilled in Pandas, Node.js, scikit-learn, Kafka, Django, Azure. Experience with Linux, GitHub Actions, Ansible, Terraform. Education: B.Tech in Computer Science."
Product Manager,"Product Manager with 5 years of experience. Skilled in Node.js, Python, Pandas, Kafka. Experience with Git, Ansible. Education: M.Tech in AI."
DevOps Engineer,"DevOps Engineer with 2 years of experience. Skilled in Tableau, Flask, Spark, Hadoop, Python. Experience with Agile, Git, Linux. Education: B.E. in IT."
Cloud Engineer,"Cloud Engineer with 2 years of experience. Skilled in Figma, AWS, Tableau, Hadoop, Flask. Experience with Agile, Linux, Git. Education: B.Tech in Computer Science."
Data Scientist,"Data Scientist with 3 years of experience. Skilled in Excel, NumPy, Figma, C++. Experience with Microservices, Jenkins. Education: B.Des."
Cloud Engineer,"Cloud Engineer with 6 years of experience. Skilled in MongoDB, Flask, Docker, scikit-learn, Node.js, Excel. Experience with Ansible, Scrum, REST API. Education: MBA."
AI Engineer,"AI Engineer with 8 years of experience. Skilled in GCP, Hadoop, Kubernetes, SQL, Azure. Experience with REST API, Scrum. Education: B.Tech in Computer Science."
Frontend Developer,"Frontend Developer with 1 years of experience. Skilled in MongoDB, TensorFlow, Solidity, FastAPI. Experience with Microservices, REST API, Jira. Education: M.S. in Data Science."
QA Engineer,"QA Engineer with 6 years of experience. Skilled in Tableau, GraphQL, SQL, Airflow, Kubernetes, Kafka, C++. Experience with Ansible, Git, Jenkins, Agile. Education: B.Des."
Cybersecurity Analyst,"Cybersecurity Analyst with 7 years of experience. Skilled in GraphQL, Excel, Python, Java, Spark, Flask, Kubernetes. Experience with REST API, GitHub Actions. Education: M.Tech in AI."
AI Engineer,"AI Engineer with 5 years of experience. Skilled in Solidity, TensorFlow, Airflow, Kubernetes, Flask, Hadoop. Experience with Jenkins, Git. Education: B.Des."
Blockchain Developer,"Blockchain Developer with 9 years of experience. Skilled in Python, Kafka, Tableau, Django, Node.js, SQL, AWS. Experience with Scrum, Microservices, GitHub Actions, Ansible. Education: B.Tech in Computer Science."
UI/UX Designer,"UI/UX Designer with 9 years of experience. Skilled in Tableau, PyTorch, AWS, React, Excel, Azure, Spark. Experience with Ansible, REST API, Scrum. Education: B.Des."
Blockchain Developer,"Blockchain Developer with 7 years of experience. Skilled in Solidity, MongoDB, GCP, Java. Experience with Jenkins, Ansible. Education: MBA."
Data Scientist,"Data Scientist with 1 years of experience. Skilled in Redis, PyTorch, Tableau, Django. Experience with CI/CD, Jira. Education: B.E. in IT."
